"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"California State University-Sacramento","6000 J St, Sacramento, California 95819-2694","www.csus.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","31255","28454","48%","3%","Fall 2011","$9,841","-","110617","00115000"
"California State University-San Bernardino","5500 University Parkway, San Bernardino, California 92407-2397","www.csusb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","City: Midsize","Yes","20692","18327","54%","1%","Fall 2011","$8,704","-","110510","00114200"
"California State University-San Marcos","333 S Twin Oaks Valley Rd, San Marcos, California 92096-0001","www.csusm.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","Suburb: Large","Yes","15755","14615","53%","3%","Fall 2011","$10,454","-","366711","03011300"
"California State University-Stanislaus","One University Circle, Turlock, California 95382-0299","https://www.csustan.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Small","Yes","10327","9057","53%","5%","Fall 2011","$6,768","-","110495","00115700"
"California University of Management and Sciences","721 N Euclid St, Anaheim, California 92801","www.calums.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","No","223","8","NA","NA","Fall 2011","NA","-","460075","04133100"
"California Western School of Law","225 Cedar St, San Diego, California 92101-3046","https://www.cwsl.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","761","","NA","NA","Fall 2011","NA","-","111391","01310300"
"Career Networks Institute","702 W Town and Country Rd, Orange, California 92868-4710","www.cnicollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Midsize","No","403","403","74%","NA","Fall 2011","$25,621","Registered Nursing/Registered Nurse","433013","03242300"
"Chamberlain University-California","10971 Sun Center, Rancho Cordova, California 95670","https://www.chamberlain.edu/","4-year, Private for-profit","Bachelor's degree","City: Small","No","142","142","NA","NA","Fall 2011","NA","-","489353","00638520"
"Chapman University","One University Dr., Orange, California 92866","https://www.chapman.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9392","7020","79%","NA","Fall 2011","$40,053","-","111948","00116400"
"Charles R Drew University of Medicine and Science","1731 E 120th St, Los Angeles, California 90059","www.cdrewu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","No","543","139","25%","NA","Fall 2011","NA","-","111966","01036500"
"Church Divinity School of the Pacific","2451 Ridge Road, Berkeley, California 94709-1211","www.cdsp.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","86","","NA","NA","Fall 2011","NA","-","112127","00116500"
"Claremont Graduate University","150 E Tenth St, Claremont, California 91711-6160","www.cgu.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1913","","NA","NA","Fall 2011","NA","-","112251","00116900"
